open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
**********************
*angle ms:1692950783593,m1:-0.128,m2:0.048,m3:0.136,s1:0,s2:0
*vel ms:1692950783593,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0
**********************
Cmdms:1692950784256,m1Cmd:13.112,m2Cmd:19.908,m3Cmd:6.756,s1Cmd:19.86,s2Cmd:19.86,duration:662
Cmdms:1692950784261,m1Cmd:13.232,m2Cmd:20.088,m3Cmd:6.816,s1Cmd:20.04,s2Cmd:20.04,duration:668
Anglems:1692950784261,m1:10.256,m2:17.032,m3:5.768,s1:18.3546,s2:18.6012 ,duration:668
Velms:1692950784261,velM1:17.568,velM2:30.744,velM3:13.176,velS1:30,velS2:30.3 ,duration:668
Cmdms:1692950784267,m1Cmd:13.332,m2Cmd:20.238,m3Cmd:6.866,s1Cmd:20.19,s2Cmd:20.19,duration:673
Cmdms:1692950784272,m1Cmd:13.432,m2Cmd:20.388,m3Cmd:6.916,s1Cmd:20.34,s2Cmd:20.34,duration:678
Cmdms:1692950784277,m1Cmd:13.552,m2Cmd:20.568,m3Cmd:6.976,s1Cmd:20.52,s2Cmd:20.52,duration:684
Cmdms:1692950784283,m1Cmd:13.652,m2Cmd:20.718,m3Cmd:7.026,s1Cmd:20.67,s2Cmd:20.67,duration:689
Cmdms:1692950784288,m1Cmd:13.772,m2Cmd:20.898,m3Cmd:7.086,s1Cmd:20.85,s2Cmd:20.85,duration:695
Cmdms:1692950784293,m1Cmd:13.872,m2Cmd:21.048,m3Cmd:7.136,s1Cmd:21,s2Cmd:21,duration:700
Cmdms:1692950784299,m1Cmd:13.972,m2Cmd:21.198,m3Cmd:7.186,s1Cmd:21.15,s2Cmd:21.15,duration:705
Cmdms:1692950784304,m1Cmd:14.092,m2Cmd:21.378,m3Cmd:7.246,s1Cmd:21.33,s2Cmd:21.33,duration:711
Anglems:1692950784304,m1:11.224,m2:18.352,m3:6.032,s1:19.8234,s2:18.6012 ,duration:711
Velms:1692950784304,velM1:21.96,velM2:26.352,velM3:4.392,velS1:30,velS2:30.3 ,duration:711
Cmdms:1692950784309,m1Cmd:14.192,m2Cmd:21.528,m3Cmd:7.296,s1Cmd:21.48,s2Cmd:21.48,duration:716
Cmdms:1692950784315,m1Cmd:14.292,m2Cmd:21.678,m3Cmd:7.346,s1Cmd:21.63,s2Cmd:21.63,duration:721
Cmdms:1692950784320,m1Cmd:14.412,m2Cmd:21.858,m3Cmd:7.406,s1Cmd:21.81,s2Cmd:21.81,duration:727
Cmdms:1692950784325,m1Cmd:14.512,m2Cmd:22.008,m3Cmd:7.456,s1Cmd:21.96,s2Cmd:21.96,duration:732
Cmdms:1692950784331,m1Cmd:14.612,m2Cmd:22.158,m3Cmd:7.506,s1Cmd:22.11,s2Cmd:22.11,duration:737
Cmdms:1692950784336,m1Cmd:14.732,m2Cmd:22.338,m3Cmd:7.566,s1Cmd:22.29,s2Cmd:22.29,duration:743
Cmdms:1692950784342,m1Cmd:14.832,m2Cmd:22.488,m3Cmd:7.616,s1Cmd:22.44,s2Cmd:22.44,duration:748
Cmdms:1692950784348,m1Cmd:14.952,m2Cmd:22.668,m3Cmd:7.676,s1Cmd:22.62,s2Cmd:22.62,duration:754
Anglems:1692950784348,m1:12.016,m2:19.848,m3:6.648,s1:21.3804,s2:20.088 ,duration:754
Velms:1692950784348,velM1:13.176,velM2:30.744,velM3:13.176,velS1:30,velS2:30.3 ,duration:754
Cmdms:1692950784353,m1Cmd:15.072,m2Cmd:22.848,m3Cmd:7.736,s1Cmd:22.8,s2Cmd:22.8,duration:760
Cmdms:1692950784359,m1Cmd:15.172,m2Cmd:22.998,m3Cmd:7.786,s1Cmd:22.95,s2Cmd:22.95,duration:765
Cmdms:1692950784365,m1Cmd:15.272,m2Cmd:23.148,m3Cmd:7.836,s1Cmd:23.1,s2Cmd:23.1,duration:770
